pack,problem_dir,title,testpoints
csp2019.zip,2468,"[CSP-J2019] 数字游戏",20
csp2019.zip,2469,"[CSP-J2019] 公交换乘",20
csp2019.zip,2470," [CSP-J2019] 纪念品",20
csp2019.zip,2471,"[CSP-J2019] 加工零件",20
csp2019.zip,2472,"[CSP-S2019] 格雷码",20
csp2019.zip,2473,"[CSP-S2019] 树上的数",20
csp2019.zip,2474,"[CSP-S2019] 括号树",20
csp2019.zip,2475," [CSP-S2019] Emiya 家今天的饭",25
csp2019.zip,2476,"[CSP-S2019] 划分",25
csp2019.zip,2477,"[CSP-S2019] 树的重心",10
csp2020.zip,2478,"[CSP-J2020] 优秀的拆分",20
csp2020.zip,2479,"[CSP-J2020] 直播获奖",20
csp2020.zip,2480,"[CSP-J2020] 表达式",20
csp2020.zip,2481,"[CSP-J2020] 方格取数",20
csp2020.zip,2482,"[CSP-S2020] 儒略日",10
csp2020.zip,2483," [CSP-S2020] 函数调用",20
csp2020.zip,2484," [CSP-S2020] 动物园",20
csp2020.zip,2485," [CSP-S2020] 贪吃蛇",20
csp2021.zip,2486," [CSP-J 2021] 分糖果",10
csp2021.zip,2487," [CSP-J 2021] 插入排序",25
csp2021.zip,2488," [CSP-J 2021] 网络连接",20
csp2021.zip,2489," [CSP-J 2021] 小熊的果篮",10
csp2021.zip,2490," [CSP-S 2021] 廊桥分配",20
csp2021.zip,2491," [CSP-S 2021] 括号序列",20
csp2021.zip,2492,"[CSP-S 2021] 回文",25
csp2021.zip,2493," [CSP-S 2021] 交通规划",20
csp2022.zip,2494," [CSP-J 2022] 乘方",10
csp2022.zip,2495,"[CSP-J 2022] 解密",10
csp2022.zip,2496," [CSP-J 2022] 逻辑表达式",20
csp2022.zip,2497,"[CSP-J 2022] 上升点列",20
csp2022.zip,2498,"[CSP-S 2022] 假期计划",20
csp2022.zip,2499," [CSP-S 2022] 策略游戏",20
csp2022.zip,2500," [CSP-S 2022] 星战",20
csp2022.zip,2501," [CSP-S 2022] 数据传输",25
csp2023.zip,2502,"[CSP-J 2023] 小苹果",10
csp2023.zip,2503," [CSP-J 2023] 公路",20
csp2023.zip,2504,"[CSP-J 2023] 一元二次方程",10
csp2023.zip,2505," [CSP-J 2023] 旅游巴士",20
csp2023.zip,2506," [CSP-S 2023] 密码锁",10
csp2023.zip,2507,"[CSP-S 2023] 消消乐",20
csp2023.zip,2508," [CSP-S 2023] 结构体",20
csp2023.zip,2509,"[CSP-S 2023] 种树",20
csp2024.zip,2510," [CSP-J 2024] 扑克牌",10
csp2024.zip,2511,"[CSP-J 2024] 地图探险",10
csp2024.zip,2512," [CSP-J 2024] 小木棍",10
csp2024.zip,2513,"[CSP-J 2024] 接龙",20
csp2024.zip,2514," [CSP-S 2024] 决斗",20
csp2024.zip,2515,"[CSP-S 2024] 超速检测",10
csp2024.zip,2516," [CSP-S 2024] 染色",20
csp2024.zip,2517," [CSP-S 2024] 擂台游戏",25
csp近几年.zip,1863,"数字游戏 (Number Games)",20
csp近几年.zip,1864,"公交换乘 (Bus Transfer)",20
csp近几年.zip,1865,"纪念品 (Souvenir)",20
csp近几年.zip,1866,"零件加工 (Parts Processing)",20
csp近几年.zip,1867,"优秀的拆分 (Excellent Split)",20
csp近几年.zip,1868,"直播获奖 (Live Awards Ceremony)",20
csp近几年.zip,1869,"表达式 (Expression)",20
csp近几年.zip,1870,"方格取数 (Grid Numbers Picking)",20
csp近几年.zip,1924,"分糖果",10
csp近几年.zip,1929,"插入排序",25
csp近几年.zip,1930,"网络连接",20
csp近几年.zip,1931,"小熊的果篮 (Bear's Fruit Basket)",10
csp近几年.zip,2483,"上升点列(point)",20
csp近几年.zip,2484,"逻辑表达式(expr)",20
csp近几年.zip,2485,"解密(decode)",10
csp近几年.zip,2486,"乘方(pow)",10
csp近几年.zip,2538,"小苹果（apple）",10
csp近几年.zip,2539,"公路（road）",20
csp近几年.zip,2540,"一元二次方程（uqe）",10
csp近几年.zip,2541,"旅游巴士（bus）",20
cspt.zip,2468,"[CSP-J2019] 数字游戏",20
cspt.zip,2469,"[CSP-J2019] 公交换乘",20
cspt.zip,2470," [CSP-J2019] 纪念品",20
cspt.zip,2471,"[CSP-J2019] 加工零件",20
cspt.zip,2472,"[CSP-S2019] 格雷码",20
cspt.zip,2473,"[CSP-S2019] 树上的数",20
cspt.zip,2474,"[CSP-S2019] 括号树",20
cspt.zip,2475," [CSP-S2019] Emiya 家今天的饭",25
cspt.zip,2476,"[CSP-S2019] 划分",25
cspt.zip,2477,"[CSP-S2019] 树的重心",10
cspt.zip,2478,"[CSP-J2020] 优秀的拆分",20
cspt.zip,2479,"[CSP-J2020] 直播获奖",20
cspt.zip,2480,"[CSP-J2020] 表达式",20
cspt.zip,2481,"[CSP-J2020] 方格取数",20
cspt.zip,2482,"[CSP-S2020] 儒略日",10
cspt.zip,2483," [CSP-S2020] 函数调用",20
cspt.zip,2484," [CSP-S2020] 动物园",20
cspt.zip,2485," [CSP-S2020] 贪吃蛇",20
cspt.zip,2486," [CSP-J 2021] 分糖果",10
cspt.zip,2487," [CSP-J 2021] 插入排序",25
cspt.zip,2488," [CSP-J 2021] 网络连接",20
cspt.zip,2489," [CSP-J 2021] 小熊的果篮",10
cspt.zip,2490," [CSP-S 2021] 廊桥分配",20
cspt.zip,2491," [CSP-S 2021] 括号序列",20
cspt.zip,2492,"[CSP-S 2021] 回文",25
cspt.zip,2493," [CSP-S 2021] 交通规划",20
cspt.zip,2494," [CSP-J 2022] 乘方",10
cspt.zip,2495,"[CSP-J 2022] 解密",10
cspt.zip,2496," [CSP-J 2022] 逻辑表达式",20
cspt.zip,2497,"[CSP-J 2022] 上升点列",20
cspt.zip,2498,"[CSP-S 2022] 假期计划",20
cspt.zip,2499," [CSP-S 2022] 策略游戏",20
cspt.zip,2500," [CSP-S 2022] 星战",20
cspt.zip,2501," [CSP-S 2022] 数据传输",25
cspt.zip,2502,"[CSP-J 2023] 小苹果",10
cspt.zip,2503," [CSP-J 2023] 公路",20
cspt.zip,2504,"[CSP-J 2023] 一元二次方程",10
cspt.zip,2505," [CSP-J 2023] 旅游巴士",20
cspt.zip,2506," [CSP-S 2023] 密码锁",10
cspt.zip,2507,"[CSP-S 2023] 消消乐",20
cspt.zip,2508," [CSP-S 2023] 结构体",20
cspt.zip,2509,"[CSP-S 2023] 种树",20
cspt.zip,2510," [CSP-J 2024] 扑克牌",10
cspt.zip,2511,"[CSP-J 2024] 地图探险",10
cspt.zip,2512," [CSP-J 2024] 小木棍",10
cspt.zip,2513,"[CSP-J 2024] 接龙",20
cspt.zip,2514," [CSP-S 2024] 决斗",20
cspt.zip,2515,"[CSP-S 2024] 超速检测",10
cspt.zip,2516," [CSP-S 2024] 染色",20
cspt.zip,2517," [CSP-S 2024] 擂台游戏",25
gesp.zip,5944,"[GESP202403一级] 小杨买书",10
gesp.zip,5945,"[GESP202403五级] B-smooth数",10
gesp.zip,5946,"[GESP202403六级] 游戏",10
gesp.zip,5947,"[GESP202403六级] 好斗的牛",10
gesp.zip,5948,"[GESP202403七级] 交流问题",10
gesp.zip,5949,"[GESP202403七级] 俄罗斯方块",10
gesp.zip,5950,"[GESP202403八级] 公倍数问题",10
gesp.zip,5951,"[GESP202403八级] 接竹竿",11
gesp.zip,5955,"[GESP202403一级] 找因数",10
gesp.zip,5961,"[GESP202403二级] 乘法问题",10
gesp.zip,5962,"[GESP202403二级] 小杨的日字矩阵",23
gesp.zip,5963,"[GESP202403三级] 字母求和",10
gesp.zip,5964,"[GESP202403三级] 完全平方数",10
gesp.zip,5965,"[GESP202403四级] 相似字符串",10
gesp.zip,5966,"[GESP202403四级] 做题",11
gesp.zip,5967,"[GESP202403五级] 成绩排序",10
gesp.zip,5968,"[GESP202409一级] 小杨购物",10
gesp.zip,5969,"[GESP202409五级] 挑战怪物",10
gesp.zip,5970,"[GESP202409六级] 小杨和整数拆分",10
gesp.zip,5971,"[GESP202409六级] 算法学习",10
gesp.zip,5972,"[GESP202409一级] 美丽数字",10
gesp.zip,5973,"[GESP202409二级] 数位之和",10
gesp.zip,5974,"[GESP202409二级] 小杨的矩阵",24
gesp.zip,5975,"[GESP202409三级] 平衡序列",10
gesp.zip,5976,"[GESP202409三级] 回文拼接",10
gesp.zip,5977,"[GESP202409四级] 黑白方块",10
gesp.zip,5978,"[GESP202409四级] 区间排序",10
gesp.zip,5979,"[GESP202409五级] 小杨的武器",10
gesp.zip,5980,"[GESP202412一级] 温度转换",10
gesp.zip,5981,"[GESP202412五级] 武器强化",10
gesp.zip,5982,"[GESP202412六级] 树上游走",10
gesp.zip,5983,"[GESP202412六级] 运送物资",10
gesp.zip,5984,"[GESP202412七级] 武器购买",10
gesp.zip,5985,"[GESP202412七级] 燃烧",10
gesp.zip,5986,"[GESP202412八级] 树上移动",10
gesp.zip,5987,"[GESP202412八级] 排队",10
gesp.zip,5988,"[GESP202412一级] 奇数和偶数",10
gesp.zip,5989,"[GESP202412二级] 寻找数字",10
gesp.zip,5990,"[GESP202412二级] 数位和",10
gesp.zip,5991,"[GESP202412三级] 数字替换",10
gesp.zip,5992,"[GESP202412三级] 打印数字",10
gesp.zip,5993,"[GESP202412四级] Recamán",10
gesp.zip,5994,"[GESP202412四级] 字符排序",10
gesp.zip,5995,"[GESP202412五级] 奇妙数字",10
新建文件夹.zip,2498,"[CSP-S 2022] 假期计划",20
新建文件夹.zip,2499," [CSP-S 2022] 策略游戏",20
新建文件夹.zip,2500," [CSP-S 2022] 星战",20
新建文件夹.zip,2501," [CSP-S 2022] 数据传输",25
梦熊-j模拟题.zip,6964,"MXCSP-J第一套模拟卷T1 评估（assess）",10
梦熊-j模拟题.zip,6965,"MXCSP-J第一套模拟卷T2 拆分数字（split）",10
梦熊-j模拟题.zip,6966,"MXCSP-J第一套模拟卷T3 露营（camp）",10
梦熊-j模拟题.zip,6967,"MXCSP-J第一套模拟卷T4 寻宝（treasure）",10
梦熊-j模拟题.zip,6968,"MXCSP-J第二套模拟卷T1互质划分（coprime）",10
梦熊-j模拟题.zip,6969,"MXCSP-J第二套模拟卷T2出租车（taxi）",10
梦熊-j模拟题.zip,6970,"MXCSP-J第二套模拟卷T3木雕玩具（toy）",10
梦熊-j模拟题.zip,6971,"MXCSP-J第二套模拟卷T4幽默数（humor）",10
梦熊-j模拟题.zip,6972,"MXCSP-J第三套模拟卷T1 染色（paint）",10
梦熊-j模拟题.zip,6973,"MXCSP-J第三套模拟卷T2 石头称重（stone）",10
梦熊-j模拟题.zip,6974,"MXCSP-J第三套模拟卷T3 字符串（string）",10
梦熊-j模拟题.zip,6975,"MXCSP-J第三套模拟卷T4 喵喵（meow）",10
梦熊-j模拟题.zip,6976,"MXCSP-J第四套模拟卷T1傻鹿尖塔",10
梦熊-j模拟题.zip,6977,"MXCSP-J第四套模拟卷T2树联网",10
梦熊-j模拟题.zip,6978,"MXCSP-J第四套模拟T3选家具",20
梦熊-j模拟题.zip,6979,"MXCSP-J第四套模拟卷T4推荐队列",10
梦熊-j模拟题.zip,6980,"MXCSP-J第五套模拟卷T1 舞蹈机器人（dance）",10
梦熊-j模拟题.zip,6981,"MXCSP-J第五套模拟卷T2 狗是啥呀（dog）",10
梦熊-j模拟题.zip,6982,"MXCSP-J第五套模拟卷T3 枢纽（junction）",10
梦熊-j模拟题.zip,6983,"MXCSP-J第五套模拟卷T4 魔法药水（potion）",10
蓝桥等考.zip,5998,"自动售货机",5
蓝桥等考.zip,5999,"整数的位数",5
蓝桥等考.zip,6000,"数字交换",5
蓝桥等考.zip,6002,"梯形的面积",5
蓝桥等考.zip,6004,"字母大小写转换",5
蓝桥等考.zip,6006,"计算圆的面积",5
蓝桥等考.zip,6009,"直角三角形斜边的长度",5
蓝桥等考.zip,6010,"计算圆的周长",5
蓝桥等考.zip,6011,"比较大小",5
蓝桥等考.zip,6013,"数字判断",5
蓝桥等考.zip,6014,"判断小蓝得分",5
蓝桥等考.zip,6015,"氧气浓度",5
蓝桥等考.zip,6016,"加法算式",5
蓝桥等考.zip,6022,"血糖值",5
蓝桥等考.zip,6024,"报到日期",5
蓝桥等考.zip,6028,"判断整除",5
蓝桥等考.zip,6029,"加法计算",5
蓝桥等考.zip,6031,"限号出行",5
蓝桥等考.zip,6033,"烤面包",5
蓝桥等考.zip,6034,"判断偶数",5
蓝桥等考.zip,6114,"成绩排序",5
蓝桥等考.zip,6116,"最小的数",5
蓝桥等考.zip,6120,"成绩排序",5
蓝桥等考.zip,6123,"最大的数",5
蓝桥等考.zip,6125,"画等腰梯形",5
蓝桥等考.zip,6128,"数列循环右移",5
蓝桥等考.zip,6129,"累加和的数列",5
蓝桥等考.zip,6130,"4的倍数",5
蓝桥等考.zip,6131,"奇变偶不变",5
蓝桥等考.zip,6132,"变换数列",5
蓝桥等考.zip,6134,"画直角三角形",5
蓝桥等考.zip,6135,"判断质数",5
蓝桥等考.zip,6136,"不是3的倍数的数",5
蓝桥等考.zip,6138,"求最大公约数",5
蓝桥等考.zip,6139,"冰雹猜想2",5
蓝桥等考.zip,6140,"完全数",5
蓝桥等考.zip,6141,"不及格的学生人数",5
蓝桥等考.zip,6142,"倒序输出数列片段",5
蓝桥等考.zip,6143,"无敌时间",5
蓝桥等考.zip,6144,"最终得分",5
蓝桥等考.zip,6146,"绩效奖金",5
蓝桥等考.zip,6147,"2021年全国GDP排行榜前5名",5
蓝桥等考.zip,6148,"幸运大转盘",5
蓝桥等考.zip,6149,"选择题的答案",5
蓝桥等考.zip,6150,"3的倍数数列",5
蓝桥等考.zip,6151,"等差数列",5
蓝桥等考.zip,6152,"凑硬币",5
蓝桥等考.zip,6153,"四大洋",5
蓝桥等考.zip,6154,"等差数列",5
蓝桥等考.zip,6155,"计算机语言排行榜",5
蓝桥等考.zip,6157,"考试",5
蓝桥等考.zip,6162,"矩阵外圈整数之和",5
蓝桥等考.zip,6163,"主对角线求和",5
蓝桥等考.zip,6164,"彩色珠子",5
蓝桥等考.zip,6166,"平均月收入",5
蓝桥等考.zip,6168,"实习工资",5
蓝桥等考.zip,6180,"严格递减连续子数列",5
蓝桥等考.zip,6181,"自守数",5
蓝桥等考.zip,6184,"孪生质数",5
蓝桥等考.zip,6185,"组合数计算",5
蓝桥等考.zip,6186,"截取数列片段",5
蓝桥等考.zip,6187,"最便宜的发卡",5
蓝桥等考.zip,6188,"1~n之间的偶数",5
蓝桥等考.zip,6190,"01比特串左移操作",5
蓝桥等考.zip,6191,"0~n之间的奇数",5
蓝桥等考.zip,6193,"能量回收",5
蓝桥等考.zip,6194,"区间里的哈沙德数",5
蓝桥等考.zip,6195,"整数数列",5
蓝桥等考.zip,6196,"剩余的积分",5
蓝桥等考.zip,6197,"输出数列",5
蓝桥等考.zip,6199,"“1”出现的次数",5
炼石noip.zip,6893,"炼石计划NOIP模拟赛第1套题目T1 岛屿",13
炼石noip.zip,6894,"炼石计划NOIP模拟赛第1套题目T2 小朋友",29
炼石noip.zip,6895,"炼石计划NOIP模拟赛第1套题目T3 列表",21
